,Название тура,Цена,Локация,Приб/отб,Рейтинг,Кол-во оценок,Сложность,Комфорт,Url,Тэги,Длительность,Место прожив.,Размер группы,Мин. возраст,Место встречи
14_3,Город Грозный и регион КМВ. Тур на выходные,15800,Чечня,"['2024-05-17', '2024-05-19']",4.9,160,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/chechnya/gorod-groznyj-i-region-kmv-tur-na-vyhodnye-22312,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,г. Пятигорск
14_6,Домбай и регион КМВ. Тур на выходные,15800,Кавказ,"['2024-05-17', '2024-05-19']",4.9,162,0.25,"Средний
Выше среднего",https://bolshayastrana.com/dombaj/dombaj-i-region-kmv-tur-na-vyhodnye-22282,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,г. Пятигорск
14_7,Бермамыт и регион КМВ. Тур на выходные,16450,Карачаево-Черкесия,"['2024-05-17', '2024-05-19']",4.9,160,0.25,"Средний
Выше среднего",https://bolshayastrana.com/karachaevo-cherkesiya/bermamyt-i-region-kmv-kavkaz-za-dva-dnya-17529,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры']",3 дня,Гостиница,До 50 человек,5 лет,г. Пятигорск
14_8,Выходные в горах Урала. Семейный тур,15700,Башкирия,"['2024-05-17', '2024-05-19']",4.9,112,0.25,Средний,https://bolshayastrana.com/bashkiriya/vyhodnye-v-gorah-urala-kombinirovannyj-tur-17454,"['Комбинированные туры', 'Сплавы', 'Экскурсионные туры']",3 дня,Турбаза,До 15 человек,8 лет,с. Кага
14_9,Выходные в Калининграде,15800,Калининградская область,"['2024-05-17', '2024-05-19']",4.9,308,0.25,Выше среднего,https://bolshayastrana.com/kaliningradskaya-oblast/vyhodnye-v-kaliningrade-17103,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,3 года,г. Калининград
14_10,"Экскурсионный тур через три заповедника Урала, 3 дня",26500,Башкирия,"['2024-05-17', '2024-05-19']",4.9,114,0.25,Средний,https://bolshayastrana.com/bashkiriya/ehkskursionnyj-tur-cherez-tri-zapovednika-urala-3-dnya-17088,['Экскурсионные туры'],3 дня,Турбаза,До 20 человек,8 лет,г. Уфа
14_11,Конное путешествие по Южному Уралу,21500,Башкирия,"['2024-05-17', '2024-05-19']",4.9,110,0.5,Средний,https://bolshayastrana.com/bashkiriya/konnoe-puteshestvie-po-yuzhnomu-uralu-17084,['Конные туры'],3 дня,Турбаза,До 15 человек,16 лет,110 кг
14_12,Выходные на реке Белая. Комбинированный тур на Южный Урал,21500,Урал,"['2024-05-17', '2024-05-19']",4.9,107,0.25,Средний,https://bolshayastrana.com/ural/vyhodnye-na-reke-belaya-17080,"['Комбинированные туры', 'Конные туры', 'Сплавы']",3 дня,Турбаза,До 15 человек,16 лет,с. Кага
14_13,Чеченская классика. Тур выходного дня,34000,Чечня,"['2024-05-17', '2024-05-19']",4.9,91,0.25,Средний,https://bolshayastrana.com/chechnya/garmoniyakavkazaturvyhodnogodnya-16362,['Экскурсионные туры'],3 дня,Гостиница,До 18 человек,5 лет,г. Грозный
14_14,Летние приключения в Адыгее,39000,Адыгея,"['2024-05-18', '2024-05-22']",5,71,0.5,Средний,https://bolshayastrana.com/adygeya/letnie-priklyucheniya-v-adygee-250323,"['Комбинированные туры', 'Сплавы', 'Каньонинг']",5 дней,Турбаза,До 15 человек,8 лет,Краснодар
14_15,Дагестанская Атлантида,37000,Дагестан,"['2024-05-18', '2024-05-22']",4.9,210,0.25,"Средний
Выше среднего",https://bolshayastrana.com/dagestan/dagestanskaya-atlantida-245743,['Экскурсионные туры'],5 дней,Гостевой дом,До 18 человек,5 лет,г. Махачкала
14_16,В Тридевятом царстве. Экскурсионный тур по Калининградской области,21000,Калининградская область,"['2024-05-18', '2024-05-25']",4.9,68,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kaliningradskaya-oblast/v-tridevyatom-carstve-ehkskursionnyj-tur-po-kaliningradskoj-oblasti-230077,['Экскурсионные туры'],8 дней,Гостевой дом или Гостиница,До 49 человек,3 года,Калининград
14_17,Экскурсионный тур по Уфе,20500,Башкирия,"['2024-05-18', '2024-05-19']",4.9,107,0.25,Высокий,https://bolshayastrana.com/bashkiriya/ehkskursionnyj-tur-po-ufe-227490,['Экскурсионные туры'],2 дня,Гостиница,До 20 человек,8 лет,"Республика Башкортостан, Уфа"
14_18,Тур выходного дня на Алтай. По Чуйскому тракту,19800,Алтай,"['2024-05-18', '2024-05-19']",5,119,0.25,Средний,https://bolshayastrana.com/altaj/tur-vyhodnogo-dnya-na-altaj-po-chujskomu-traktu-78289,['Экскурсионные туры'],2 дня,Гостиница,До 18 человек,6 лет,"Алтайский край, Белокуриха / г. Горно-Алтайск"
14_19,Три острова: Сахалин — Кунашир — Шикотан,218000,Сахалин и Курильские острова,"['2024-05-18', '2024-06-02']",4.9,73,0.5,"Средний
Выше среднего",https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/sahalin-kunashir-shikotan-19156,"['Комбинированные туры', 'Экскурсионные туры', 'Пешие туры', 'Джип-туры']",16 дней,Гостиница,До 25 человек,6 лет,"Россия, Сахалинская область, Южно-Сахалинск"
14_20,Сахалин — Кунашир,136000,Сахалин и Курильские острова,"['2024-05-18', '2024-05-29']",4.9,74,0.5,"Выше среднего
Высокий",https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/sahalin-kunashir-19122,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры']",12 дней,Гостиница,До 25 человек,6 лет,Южно-Сахалинск
14_21,Четыре истории Владивостока,51400,Приморье,"['2024-05-18', '2024-05-22']",4.8,116,0.25,"Средний
Выше среднего",https://bolshayastrana.com/primore/chetyre-istorii-vladivostoka-17248,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры']",5 дней,Гостиница,До 20 человек,7 лет,г. Владивосток
15_0,На байдарках по Ладоге,8900,Ленинградская область,"['2024-05-18', '2024-05-19']",5,48,0.5,Базовый,https://bolshayastrana.com/leningradskaya-oblast/na-bajdarkah-po-ladoge-17034,['Сплавы'],2 дня,Палатка,До 24 человек,14 лет,110 кг
15_1,Чудо Байкала. Пеший комбинированный тур,81000,Байкал,"['2024-05-18', '2024-05-25']",5,30,0.5,Базовый,https://bolshayastrana.com/bajkal/chudo-bajkala-peshij-kombinirovannyj-tur-5357,"['Комбинированные туры', 'Экскурсионные туры', 'Пешие туры']",8 дней,Гостиница,До 25 человек,12 лет,г. Иркутск
15_2,Южный Дагестан. Экскурсионный тур по воскресеньям,24000,Дагестан,"['2024-05-19', '2024-05-22']",4.9,213,0.25,Выше среднего,https://bolshayastrana.com/dagestan/yuzhnyj-dagestan-ehkskursionnyj-tur-po-voskresenyam-246998,['Экскурсионные туры'],4 дня,Гостиница,До 18 человек,5 лет,г. Махачкала
15_3,Уральский мультитур,69400,Башкирия,"['2024-05-19', '2024-05-26']",4.9,108,0.25,Средний,https://bolshayastrana.com/bashkiriya/uralskij-multitur-227597,"['Комбинированные туры', 'Экскурсионные туры', 'Конные туры', 'Сплавы']",8 дней,Турбаза,До 15 человек,8 лет,120 кг
15_6,Весенне-летнее знакомство с озером Байкал,75000,Байкал,"['2024-05-19', '2024-05-25']",4.9,48,0.25,Простой,https://bolshayastrana.com/bajkal/letnee-znakomstvo-s-ozerom-bajkal-19154,['Экскурсионные туры'],7 дней,Гостиница или Турбаза,До 16 человек,7 лет,"Россия, Иркутск"
15_7,Владивосток — город у океана. Зимне-весенний отдых,29200,Приморье,"['2024-05-19', '2024-05-23']",4.8,120,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/primore/vladivostok-gorod-u-morya-17245,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,5 лет,г. Владивосток
15_8,Экскурсионный тур по Владивостоку. Зимне-весенний отдых,46550,Приморье,"['2024-05-19', '2024-05-25']",4.8,118,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/dalnij-vostok/ehkskursionnyj-tur-po-vladivostoku-17244,['Экскурсионные туры'],7 дней,Гостиница,До 40 человек,5 лет,г. Владивосток
15_9,Вкусное знакомство с Владивостоком,39500,Приморье,"['2024-05-20', '2024-05-26']",4.8,117,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/primore/vkusnoe-znakomstvo-s-vladivostokom-228720,['Экскурсионные туры'],7 дней,Гостиница,До 10 человек,7 лет,"Приморский край, Владивосток"
15_10,Встречи с чудесами Кавказа. Сокращенная программа,46050,Эльбрус,"['2024-05-20', '2024-05-24']",4.9,105,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ehlbrus/vstrechi-s-chudesami-kavkaza-19100,['Экскурсионные туры'],5 дней,Гостиница,До 35 человек,5 лет,"Россия, Ставропольский край, Пятигорск"
15_11,Встречи с чудесами Кавказа,56300,Эльбрус,"['2024-05-20', '2024-05-26']",4.9,111,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ehlbrus/vstrechi-s-chudesami-kavkaza-17755,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,9 лет,г. Пятигорск
15_12,Знакомство с Алтаем. Вдоль Чуйского тракта и Марсианские горы,50900,Алтай,"['2024-05-20', '2024-05-26']",4.9,145,0.5,"Средний
Высокий",https://bolshayastrana.com/altaj/znakomstvo-s-altaem-tur-po-chujskomu-traktu-17550,['Экскурсионные туры'],7 дней,Гостиница,До 35 человек,6 лет,г. Белокуриха
15_13,Весь Кавказ: от Кавминвод до Дагестана,56050,Чечня,"['2024-05-20', '2024-05-27']",4.9,120,0.25,"Средний
Выше среднего",https://bolshayastrana.com/chechnya/ves-kavkaz-ot-kavminvod-do-dagestana-17521,['Экскурсионные туры'],8 дней,Гостиница,До 35 человек,10 лет,г. Пятигорск
15_14,Кунашир — остров четырех вулканов,75500,Сахалин и Курильские острова,"['2024-05-21', '2024-05-27']",4.9,72,0.5,Средний,https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/kunashir-ostrov-chetyrekh-vulkanov-17418,['Экскурсионные туры'],7 дней,Гостиница,До 25 человек,6 лет,г. Южно-Сахалинск
15_15,Горный Дагестан. Джип-тур,43000,Дагестан,"['2024-05-22', '2024-05-25']",4.9,218,0.25,Простой,https://bolshayastrana.com/dagestan/gornyj-dagestan-dzhip-tur-230649,['Джип-туры'],4 дня,Гостевой дом,До 5 человек,7 лет,"Россия, Республика Дагестан, Махачкала"
15_16,Активная программа «Чарующий Кавказ». Путешествие в Грозный,32050,Кавказ,"['2024-05-22', '2024-05-27']",4.9,160,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/aktivnaya-programma-charuyushchij-kavkaz-puteshestvie-v-groznyj-227428,"['Экскурсионные туры', 'Джип-туры']",6 дней,Гостиница,До 50 человек,7 лет,"Россия, Ставропольский край, Пятигорск"
15_17,Владикавказ – Грозный – Ингушетия. Тур выходного дня,24600,Ингушетия,"['2024-05-22', '2024-05-23']",4.9,100,0.25,Выше среднего,https://bolshayastrana.com/ingushetiya/vladikavkaz-groznyj-ingushetiya-tur-vyhodnogo-dnya-23009,['Экскурсионные туры'],2 дня,Гостиница,До 35 человек,5 лет,г. Пятигорск
15_18,Роскошь Нижней Волги и жемчужина Калмыкии,31600,Астраханская область,"['2024-05-23', '2024-05-28']",5,20,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/astrahanskaya-oblast/roskosh-nizhnej-volgi-i-zhemchuzhina-kalmykii-194563,['Экскурсионные туры'],6 дней,Гостиница,До 45 человек,6 лет,Астрахань
15_19,Восемь приключений в Хакасии,61000,Хакасия,"['2024-05-23', '2024-05-30']",5,42,0.5,"Выше среднего
Высокий",https://bolshayastrana.com/hakasiya/vosem-priklyuchenij-v-hakasii-19735,['Экскурсионные туры'],8 дней,Гостиница,До 20 человек,10 лет,"Россия, Республика Хакасия, Абакан"
15_20,Найди свой дзен в Калмыкии. Релакс-тур на 4 дня,36650,Калмыкия,"['2024-05-24', '2024-05-27']",4.8,33,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kalmykiya/najdi-svoj-dzehn-v-kalmykii-248432,['Экскурсионные туры'],4 дня,Гостиница,До 14 человек,2 года,г. Элиста
15_21,"Экспедиция на Алтайский Марс. Лето, осень",24900,Алтай,"['2024-05-24', '2024-05-26']",5,116,0.25,Средний,https://bolshayastrana.com/altaj/ehkspediciya-na-altajskij-mars-leto-229527,['Экскурсионные туры'],3 дня,Гостиница,До 18 человек,7 лет,"Республика Алтай, Горно-Алтайск"
16_0,Дагестанские каникулы,22500,Дагестан,"['2024-05-17', '2024-05-19']",4.9,213,0.25,Средний,https://bolshayastrana.com/dagestan/dagestanskie-kanikuly-76867,['Экскурсионные туры'],3 дня,Гостиница,До 18 человек,5 лет,г. Махачкала
16_1,Дагестан — в страну гор на выходные. Экскурсионный тур,30950,Дагестан,"['2024-05-24', '2024-05-26']",4.9,109,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/dagestan-v-stranu-gor-na-vyhodnye-ehkskursionnyj-tur-17518,['Экскурсионные туры'],3 дня,Гостиница,До 35 человек,5 лет,г. Пятигорск
16_2,Безмятежный Шикотан,55000,Сахалин и Курильские острова,"['2024-05-25', '2024-05-30']",4.9,71,0.5,Выше среднего,https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/bezmyatezhnyj-shikotan-139990,"['Комбинированные туры', 'Экскурсионные туры', 'Пешие туры']",6 дней,Каюта,До 25 человек,6 лет,"Россия, Сахалинская область, Южно-Сахалинск"
16_3,Знакомство с Владивостоком,27650,Приморье,"['2024-05-25', '2024-05-29']",4.8,131,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/primore/znakomstvo-s-vladivostokom-16985,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,5 лет,г. Владивосток
16_6,Едем на Байкал. Приключенческий тур для всей семьи,80500,Байкал,"['2024-05-25', '2024-06-01']",4.9,37,0.25,Средний,https://bolshayastrana.com/bajkal/edem-na-bajkal-priklyuchencheskij-tur-dlya-vsej-semi-16151,['Экскурсионные туры'],8 дней,Гостиница,До 25 человек,1 год,г. Иркутск
16_7,Легенды Дагестана,32150,Дагестан,"['2024-05-26', '2024-05-30']",4.9,214,0.25,Средний,https://bolshayastrana.com/dagestan/legendy-dagestana-246164,['Экскурсионные туры'],5 дней,Гостиница,До 17 человек,5 лет,"Республика Дагестан, Махачкала"
16_8,В Карелию летом на 4 дня,32400,Карелия,"['2024-05-26', '2024-05-29']",4.9,190,0.5,Высокий,https://bolshayastrana.com/kareliya/v-kareliyu-letom-na-4-dnya-231674,"['Экскурсионные туры', 'Сплавы']",4 дня,Гостиница,До 50 человек,7 лет,"Республика Карелия, Петрозаводск"
16_9,Верхом по Уральским хребтам,52700,Башкирия,"['2024-05-26', '2024-05-31']",4.9,108,0.5,"Базовый
Средний",https://bolshayastrana.com/bashkiriya/verhom-po-uralskim-hrebtam-17081,['Конные туры'],6 дней,Турбаза,До 15 человек,16 лет,120 кг
16_10,Активный тур по Золотому Уралу. Тур в Башкирию,37700,Башкирия,"['2024-05-26', '2024-05-31']",4.9,113,0.5,Базовый,https://bolshayastrana.com/bashkiriya/aktivnyj-tur-po-zolotomu-uralu-17078,"['Комбинированные туры', 'Конные туры', 'Сплавы']",6 дней,Турбаза,До 15 человек,16 лет,"Республика Башкортостан, Белорецкий район, село Кага"
16_11,Из Беломорска до Соловков,21900,Карелия,"['2024-05-27', '2024-05-28']",4.9,188,0.25,"Простой
Средний",https://bolshayastrana.com/arhangelskaya-oblast/iz-belomorska-do-solovkov-246440,['Экскурсионные туры'],2 дня,Турбаза,До 50 человек,7 лет,"Республика Карелия, Беломорск"
16_12,Соловецкие острова и Беломорск,49100,Архангельская область,"['2024-05-27', '2024-05-31']",4.9,188,0.25,"Простой
Средний",https://bolshayastrana.com/arhangelskaya-oblast/soloveckie-ostrova-i-belomorsk-246337,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,7 лет,"Республика Карелия, Беломорск"
16_13,HIKING CAMP. Пеший тур по Калининградской области,44900,Калининградская область,"['2024-05-27', '2024-06-01']",5,46,0.5,Средний,https://bolshayastrana.com/kaliningradskaya-oblast/hiking-camp-peshij-tur-po-kaliningradskoj-oblasti-245952,"['Экскурсионные туры', 'Пешие туры', 'Комбинированные туры']",6 дней,Гостиница,До 18 человек,14 лет,"Россия, Калининград"
16_14,Страна Янтария. Экскурсионный тур по Калининградской области,27000,Калининградская область,"['2024-05-27', '2024-06-03']",4.9,64,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/kaliningradskaya-oblast/strana-yantariya-ehkskursionnyj-tur-po-kaliningradskoj-oblasti-229894,['Экскурсионные туры'],8 дней,Гостиница,До 49 человек,3 года,"Калининградская область, Светлогорск"
16_15,Алтай настоящий,138000,Алтай,"['2024-05-20', '2024-05-27']",5,19,0.25,Выше среднего,https://bolshayastrana.com/altaj/altaj-nastoyashchij-126927,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры', 'Вертолетные туры']",8 дней,Гостевой дом или Турбаза,До 12 человек,8 лет,"Россия, Республика Алтай, Горно-Алтайск"
16_16,Соловецкие острова и Беломорканал,42400,Архангельская область,"['2024-05-27', '2024-05-30']",4.9,189,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/soloveckie-ostrova-i-belomorkanal-18985,['Экскурсионные туры'],4 дня,Турбаза,До 50 человек,7 лет,Беломорск
16_17,"Кижи, Рускеала и сплав по реке Шуя",32900,Карелия,"['2024-05-27', '2024-05-30']",4.9,196,0.5,Высокий,https://bolshayastrana.com/kareliya/kizhi-valaam-i-splav-po-reke-shuya-1757,"['Комбинированные туры', 'Экскурсионные туры', 'Сплавы']",4 дня,Гостиница,До 50 человек,7 лет,г. Петрозаводск
16_18,Величие Кижи и Валаама. Обзорный тур,26900,Карелия,"['2024-05-27', '2024-05-29']",4.9,218,0.25,Высокий,https://bolshayastrana.com/kareliya/velichie-kizhi-i-valaama-obzornyj-tur-1755,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,7 лет,г. Петрозаводск
16_19,Гостеприимный Дагестан. Экскурсионный тур по вторникам,19900,Дагестан,"['2024-05-14', '2024-05-17']",4.9,213,0.25,Выше среднего,https://bolshayastrana.com/dagestan/gostepriimnyj-dagestan-ehkskursionnyj-tur-po-vtornikam-246971,['Экскурсионные туры'],4 дня,Гостиница,До 18 человек,4 года,г. Махачкала
16_20,По дороге в Аркаим. Обзорный тур на Южный Урал,59900,Башкирия,"['2024-05-28', '2024-06-02']",4.9,108,0.25,Простой,https://bolshayastrana.com/bashkiriya/obzornyj-tur-po-doroge-v-arkaim-17093,['Экскурсионные туры'],6 дней,Турбаза,До 20 человек,8 лет,г. Уфа
16_21,"Привет, Владивосток!",17950,Приморье,"['2024-05-29', '2024-06-02']",4.8,114,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/primore/privet-vladivostok-247566,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,5 лет,"Приморский край, Владивосток"
17_0,Сибирские каникулы,75000,Хакасия,"['2024-05-30', '2024-06-06']",4.9,39,0.5,Средний,https://bolshayastrana.com/hakasiya/sibirskie-kanikuly-56755,['Экскурсионные туры'],8 дней,Гостиница,До 20 человек,10 лет,"Россия, Республика Хакасия, Абакан"
17_1,Хакасия — Тыва. Тур комфорт,75000,Хакасия,"['2024-05-30', '2024-06-06']",5,41,0.5,Высокий,https://bolshayastrana.com/hakasiya/hakasiya-tyva-tur-komfort-19734,['Экскурсионные туры'],8 дней,Гостиница,До 20 человек,10 лет,"Россия, Республика Хакасия, Абакан"
17_2,"Святой треугольник: Кижи, Валаам, Соловки за 5 дней",47900,Карелия,"['2024-05-30', '2024-06-03']",4.9,179,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kareliya/svyatoj-treugolnik-kizhi-valaam-solovki-16702,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,10 лет,г. Петрозаводск
17_3,Дивные места Карелии,30500,Карелия,"['2024-05-30', '2024-06-02']",4.9,177,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/kareliya/divnye-mesta-karelii-4-dnya-16701,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,6 лет,г. Петрозаводск
17_6,"Святой треугольник: Кижи, Валаам, Соловки, 6 дней",55700,Архангельская область,"['2024-05-30', '2024-06-04']",4.9,164,0.25,Выше среднего,https://bolshayastrana.com/kareliya/svyatoj-treugolnik-kizhi-valaam-solovki-6-dnej-16699,['Экскурсионные туры'],6 дней,Гостиница,До 50 человек,10 лет,г. Петрозаводск
17_7,Дивные места Карелии. Сокращенная программа,27800,Карелия,"['2024-05-30', '2024-06-01']",4.9,167,0.25,"Средний
Высокий",https://bolshayastrana.com/kareliya/divnye-mesta-karelii-16233,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,6 лет,г. Петрозаводск
17_8,"Святой треугольник: Кижи, Валаам и Соловки, 7 дней",64200,Архангельская область,"['2024-05-30', '2024-06-05']",4.9,172,0.25,"Средний
Выше среднего",https://bolshayastrana.com/arhangelskaya-oblast/valaam-ruskeala-i-solovki-16063,['Экскурсионные туры'],7 дней,Гостиница,До 50 человек,7 лет,г. Петрозаводск
17_9,В поисках китов и косаток на Кольский полуостров,29600,Кольский полуостров,"['2024-05-31', '2024-06-02']",5,1,0.25,Высокий,https://bolshayastrana.com/kolskij-poluostrov/v-poiskah-kitov-i-kosatok-na-kolskij-poluostrov-248719,['Экскурсионные туры'],3 дня,Гостиница,До 12 человек,12 лет,Мурманск
17_10,Пять летних дней в Карелии: от Кижей до Ладожских шхер,46700,Карелия,"['2024-05-31', '2024-06-04']",4.9,158,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kareliya/pyat-letnih-dnej-v-karelii-ot-kizhej-do-ladozhskih-shher-247103,['Экскурсионные туры'],5 дней,Гостиница,До 35 человек,5 лет,г. Петрозаводск
17_11,Гостеприимный Дагестан. Экскурсионный тур по пятницам,24900,Дагестан,"['2024-05-17', '2024-05-21']",4.9,213,0.25,Выше среднего,https://bolshayastrana.com/dagestan/gostepriimnyj-dagestan-ehkskursionnyj-tur-po-pyatnicam-246992,['Экскурсионные туры'],5 дней,Гостиница,До 18 человек,5 лет,г. Махачкала
17_12,Рыбалка на джипах в Карелии,57500,Карелия,"['2024-05-31', '2024-06-04']",5,6,0.5,Простой,https://bolshayastrana.com/kareliya/rybalka-na-dzhipah-v-karelii-246863,"['Комбинированные туры', 'Джип-туры', 'Рыболовные туры']",5 дней,Гостевой дом,До 45 человек,5 лет,"Республика Карелия, Петрозаводск"
17_13,Отпуск на Балтике. Тур в Калининградскую область,33000,Калининградская область,"['2024-05-31', '2024-06-10']",4.9,65,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kaliningradskaya-oblast/otpusk-na-baltike-229966,['Экскурсионные туры'],11 дней,Гостиница,До 49 человек,3 года,Калининград
17_14,Горная Башкирия. Экскурсионный тур,60400,Башкирия,"['2024-05-31', '2024-06-06']",4.9,106,0.25,"Средний
Выше среднего",https://bolshayastrana.com/bashkiriya/gornaya-bashkiriya-ehkskursionnyj-tur-17091,['Экскурсионные туры'],7 дней,Турбаза,До 20 человек,8 лет,г. Уфа
17_15,Четыре летних дня в Карелии: Кижи — Марциальные воды — Кивач — Валаам — Рускеала,36800,Карелия,"['2024-05-31', '2024-06-03']",4.9,167,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kareliya/chetyre-letnih-dnya-v-karelii-kizhi-marcialnye-vody-kivach-valaam-ruskeala-16704,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,7 лет,г. Петрозаводск
17_16,Выходные в Карелии. Летнее путешествие,28800,Карелия,"['2024-05-31', '2024-06-02']",4.9,159,0.25,"Средний
Высокий",https://bolshayastrana.com/kareliya/letnie-vyhodnye-v-karelii-16234,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,г. Петрозаводск
17_17,Четыре истории Владивостока. Лето,51400,Приморье,"['2024-06-01', '2024-06-05']",4.8,114,0.25,"Средний
Выше среднего",https://bolshayastrana.com/primore/chetyre-istorii-vladivostoka-leto-240851,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры']",5 дней,Гостиница,До 20 человек,7 лет,г. Владивосток
17_18,Классический Байкал,80000,Байкал,"['2024-06-01', '2024-06-06']",5,44,0.25,Средний,https://bolshayastrana.com/bajkal/klassicheskij-bajkal-156741,['Экскурсионные туры'],6 дней,Гостиница,До 16 человек,7 лет,"Россия, Иркутск"
17_19,Чудеса на виражах. Индивидуальный тур в Карелию,43800,Карелия,"['2024-06-01', '2024-06-03']",4.9,158,0.25,Высокий,https://bolshayastrana.com/kareliya/chudesa-na-virazha-individualnyj-tur-v-kareliyu-18736,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры']",3 дня,Гостиница,До 20 человек,5 лет,г. Петрозаводск
17_20,По летним тропам Байкала. Конный тур,79000,Байкал,"['2024-06-01', '2024-06-05']",5,30,0.75,Простой,https://bolshayastrana.com/bajkal/po-letnim-tropam-bajkala-konnyj-tur-17862,['Конные туры'],5 дней,Гостиница,До 5 человек,15 лет,100 кг
17_21,Летний калейдоскоп приключений в Адыгее,66000,Адыгея,"['2024-06-01', '2024-06-08']",5,72,0.5,Базовый,https://bolshayastrana.com/adygeya/letnij-kalejdoskop-priklyuchenij-17569,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры', 'Каньонинг']",8 дней,Турбаза,До 15 человек,8 лет,г. Краснодар
18_0,Три летних дня в Карелии: Марциальные воды — Кивач — Валаам — Рускеала,23200,Карелия,"['2024-06-01', '2024-06-03']",4.9,165,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kareliya/tri-letnih-dnya-v-karelii-marcialnye-vody-kivach-valaam-ruskeala-16705,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,7 лет,г. Петрозаводск
18_1,"Побережье Байкала: КБЖД, целебные источники Аршана и встреча с шаманом",91000,Байкал,"['2024-06-01', '2024-06-08']",5,34,0.25,Средний,https://bolshayastrana.com/bajkal/poberezhe-bajkala-kbzhd-celebnye-istochniki-arshana-i-vstrecha-s-shamanom-16587,['Экскурсионные туры'],8 дней,Гостиница,До 25 человек,1 год,г. Иркутск
18_2,За гранью обыденного. Комбинированный активный тур в горах Адыгеи,65000,Адыгея,"['2024-06-01', '2024-06-08']",5,81,0.75,"Базовый
Высокий",https://bolshayastrana.com/adygeya/molodezhnyj-miks-v-gorah-adygei-16554,"['Комбинированные туры', 'Восхождения', 'Пешие туры', 'Сплавы', 'Каньонинг']",8 дней,Турбаза,До 15 человек,8 лет,г. Краснодар
18_3,Соловецкие острова. Тур-конструктор,33600,Архангельская область,"['2024-06-01', '2024-06-04']",4.9,162,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/soloveckie-ostrova-16064,['Экскурсионные туры'],4 дня,Турбаза,До 50 человек,10 лет,г. Кемь
18_6,Мультиактив в Адыгее,68000,Адыгея,"['2024-06-01', '2024-06-08']",5,84,0.5,Средний,https://bolshayastrana.com/adygeya/multiaktiv-v-adygee-5437,"['Комбинированные туры', 'Восхождения', 'Экскурсионные туры', 'Сплавы', 'Пешие туры', 'Каньонинг']",8 дней,Турбаза или Гостевой дом,До 15 человек,8 лет,г. Краснодар
18_7,Тур выходного дня на Соловки,29950,Архангельская область,"['2024-06-01', '2024-06-03']",4.9,158,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/tur-vyhodnogo-dnya-na-solovki-4864,['Экскурсионные туры'],3 дня,Гостиница,До 45 человек,5 лет,г. Петрозаводск
